"COUNTRY","COICOP_1999","FREQUENCY","TIME_PERIOD","OBS_VALUE"
"Myanmar","Health","Monthly","2012-M01",""
"Myanmar","Health","Monthly","2012-M02",""
"Myanmar","Health","Monthly","2012-M03",""
"Myanmar","Health","Monthly","2012-M04",""
"Myanmar","Health","Monthly","2012-M05",""
"Myanmar","Health","Monthly","2012-M06",""
"Myanmar","Health","Monthly","2012-M07",""
"Myanmar","Health","Monthly","2012-M08",""
"Myanmar","Health","Monthly","2012-M09",""
"Myanmar","Health","Monthly","2012-M10",""
"Myanmar","Health","Monthly","2012-M11",""
"Myanmar","Health","Monthly","2012-M12",""
"Myanmar","Health","Monthly","2013-M01","101.944954857746"
"Myanmar","Health","Monthly","2013-M02","101.806685558114"
"Myanmar","Health","Monthly","2013-M03","100.390469400095"
"Myanmar","Health","Monthly","2013-M04","100.192948801214"
"Myanmar","Health","Monthly","2013-M05","99.6595288410629"
"Myanmar","Health","Monthly","2013-M06","106.977024876389"
"Myanmar","Health","Monthly","2013-M07","109.249082747372"
"Myanmar","Health","Monthly","2013-M08","110.643127902335"
"Myanmar","Health","Monthly","2013-M09","110.154784104833"
"Myanmar","Health","Monthly","2013-M10","110.086699142861"
"Myanmar","Health","Monthly","2013-M11","110.266274796654"
"Myanmar","Health","Monthly","2013-M12","111.12046895034"
"Myanmar","Health","Monthly","2014-M01","110.677820103035"
"Myanmar","Health","Monthly","2014-M02","111.297771084002"
"Myanmar","Health","Monthly","2014-M03","111.211624924506"
"Myanmar","Health","Monthly","2014-M04","111.198341700082"
"Myanmar","Health","Monthly","2014-M05","111.313563959872"
"Myanmar","Health","Monthly","2014-M06","111.385065345569"
"Myanmar","Health","Monthly","2014-M07","111.860807629861"
"Myanmar","Health","Monthly","2014-M08","112.392000399914"
"Myanmar","Health","Monthly","2014-M09","112.450577793547"
"Myanmar","Health","Monthly","2014-M10","113.253623490874"
"Myanmar","Health","Monthly","2014-M11","114.064700860333"
"Myanmar","Health","Monthly","2014-M12","115.613456454073"
"Myanmar","Health","Monthly","2015-M01","118.497089024726"
"Myanmar","Health","Monthly","2015-M02","119.928834518602"
"Myanmar","Health","Monthly","2015-M03","120.195760479667"
"Myanmar","Health","Monthly","2015-M04","120.885800540157"
"Myanmar","Health","Monthly","2015-M05","121.498270426757"
